Serial,Sample,Loci,like_AA,like_AB
408,SC-CZE01-701_B,Am-AG-4B,0.5,0.5
409,SC-CZE01-701_B,Am-AG-11,0.5,0.5
410,SC-CZE01-701_B,Am-CT-5,0.5,0.5
411,SC-CZE01-701_B,Am-ATC-2,0.5,0.5
412,SC-CZE01-701_B,Am-ATC-3,0.5,0.5
413,SC-CZE01-701_B,Am-CT-2,0.5,0.5
414,SC-CZE01-701_B,Am-AG-2B,0.5,0.5
415,SC-CZE01-705_A,Arm01,0.5,0.5
416,SC-CZE01-705_A,Arm02,0.5,0.5
417,SC-CZE01-705_A,Arm03,0.5,0.5
418,SC-CZE01-705_A,Arm04,0.5,0.5
419,SC-CZE01-705_A,Arm05,0.5,0.5
420,SC-CZE01-705_A,Arm06,0.5,0.5
421,SC-CZE01-705_A,Arm07,0.5,0.5
422,SC-CZE01-705_A,Arm08,0.5,0.5
423,SC-CZE01-705_A,Arm09,0.5,0.5
424,SC-CZE01-705_A,Arm10,0.5,0.5
425,SC-CZE01-705_A,Arm11,0.5,0.5
426,SC-CZE01-705_A,Armo01,0.5,0.5
427,SC-CZE01-705_A,Armo02,0.5,0.5
428,SC-CZE01-705_A,Armo03,0.5,0.5
429,SC-CZE01-705_A,Am-AG-1,0.5,0.5
430,SC-CZE01-705_A,Am-AG-10,0.5,0.5
431,SC-CZE01-705_A,Am-AG-4B,0.5,0.5
432,SC-CZE01-705_A,Am-AG-11,0.5,0.5
433,SC-CZE01-705_A,Am-CT-5,0.5,0.5
434,SC-CZE01-705_A,Am-ATC-2,0.5,0.5
435,SC-CZE01-705_A,Am-ATC-3,0.5,0.5
436,SC-CZE01-705_A,Am-CT-2,0.5,0.5
437,SC-CZE01-705_A,Am-AG-2B,0.5,0.5
438,SC-CZE01-705_B,Arm01,0.5,0.5
439,SC-CZE01-705_B,Arm02,0.5,0.5
440,SC-CZE01-705_B,Arm03,0.5,0.5
441,SC-CZE01-705_B,Arm04,0.5,0.5
442,SC-CZE01-705_B,Arm05,0.5,0.5
443,SC-CZE01-705_B,Arm06,0.5,0.5
444,SC-CZE01-705_B,Arm07,0.5,0.5
445,SC-CZE01-705_B,Arm08,0.5,0.5
446,SC-CZE01-705_B,Arm09,0.5,0.5
447,SC-CZE01-705_B,Arm10,0.5,0.5
448,SC-CZE01-705_B,Arm11,0.5,0.5
449,SC-CZE01-705_B,Armo01,0.5,0.5
450,SC-CZE01-705_B,Armo02,0.5,0.5
451,SC-CZE01-705_B,Armo03,0.5,0.5
452,SC-CZE01-705_B,Am-AG-1,0.5,0.5
453,SC-CZE01-705_B,Am-AG-10,0.5,0.5
454,SC-CZE01-705_B,Am-AG-4B,0.5,0.5
455,SC-CZE01-705_B,Am-AG-11,0.5,0.5
456,SC-CZE01-705_B,Am-CT-5,0.5,0.5
457,SC-CZE01-705_B,Am-ATC-2,0.5,0.5
458,SC-CZE01-705_B,Am-ATC-3,0.5,0.5
459,SC-CZE01-705_B,Am-CT-2,0.5,0.5
460,SC-CZE01-705_B,Am-AG-2B,0.5,0.5
461,SC-FRA01-63_A,Arm01,0.5,0.5
462,SC-FRA01-63_A,Arm02,0.5,0.5
463,SC-FRA01-63_A,Arm03,0.5,0.5
464,SC-FRA01-63_A,Arm04,0.5,0.5
465,SC-FRA01-63_A,Arm05,0.5,0.5
466,SC-FRA01-63_A,Arm06,0.5,0.5
467,SC-FRA01-63_A,Arm07,0.5,0.5
468,SC-FRA01-63_A,Arm08,0.5,0.5
469,SC-FRA01-63_A,Arm09,0.5,0.5
470,SC-FRA01-63_A,Arm10,0.5,0.5
471,SC-FRA01-63_A,Arm11,0.5,0.5
472,SC-FRA01-63_A,Armo01,0.5,0.5
473,SC-FRA01-63_A,Armo02,0.5,0.5
474,SC-FRA01-63_A,Armo03,0.5,0.5
475,SC-FRA01-63_A,Am-AG-1,0.5,0.5
476,SC-FRA01-63_A,Am-AG-10,0.5,0.5
477,SC-FRA01-63_A,Am-AG-4B,0.5,0.5
478,SC-FRA01-63_A,Am-AG-11,0.5,0.5
479,SC-FRA01-63_A,Am-CT-5,0.5,0.5
480,SC-FRA01-63_A,Am-ATC-2,0.5,0.5
481,SC-FRA01-63_A,Am-ATC-3,0.5,0.5
482,SC-FRA01-63_A,Am-CT-2,0.5,0.5
483,SC-FRA01-63_A,Am-AG-2B,0.5,0.5
484,SC-FRA01-63_B,Arm01,0.5,0.5
485,SC-FRA01-63_B,Arm02,0.5,0.5
486,SC-FRA01-63_B,Arm03,0.5,0.5
487,SC-FRA01-63_B,Arm04,0.5,0.5
488,SC-FRA01-63_B,Arm05,0.5,0.5
489,SC-FRA01-63_B,Arm06,0.5,0.5
490,SC-FRA01-63_B,Arm07,0.5,0.5
491,SC-FRA01-63_B,Arm08,0.5,0.5
492,SC-FRA01-63_B,Arm09,0.5,0.5
493,SC-FRA01-63_B,Arm10,0.5,0.5
494,SC-FRA01-63_B,Arm11,0.5,0.5
495,SC-FRA01-63_B,Armo01,0.5,0.5
496,SC-FRA01-63_B,Armo02,0.5,0.5
497,SC-FRA01-63_B,Armo03,0.5,0.5
498,SC-FRA01-63_B,Am-AG-1,0.5,0.5
499,SC-FRA01-63_B,Am-AG-10,0.5,0.5
500,SC-FRA01-63_B,Am-AG-4B,0.5,0.5
501,SC-FRA01-63_B,Am-AG-11,0.5,0.5
502,SC-FRA01-63_B,Am-CT-5,0.5,0.5
503,SC-FRA01-63_B,Am-ATC-2,0.5,0.5
504,SC-FRA01-63_B,Am-ATC-3,0.5,0.5
505,SC-FRA01-63_B,Am-CT-2,0.5,0.5
506,SC-FRA01-63_B,Am-AG-2B,0.5,0.5
507,SC-FRA02-139_A,Arm01,0.5,0.5
508,SC-FRA02-139_A,Arm02,0.5,0.5
509,SC-FRA02-139_A,Arm03,0.5,0.5
510,SC-FRA02-139_A,Arm04,0.5,0.5
